"Vuosineljännes";"Postinumero";"Huoneluku";"Lukumäärä";"Neliövuokra (eur/m2)"
"2018Q4";"23500 Uusikaupunki Keskus   (Uusikaupunki )";"Kolmiot+";20;9.65
"2018Q4";"23800 Laitila Keskus   (Laitila )";"Yksiöt";.;.
"2018Q4";"23800 Laitila Keskus   (Laitila )";"Kaksiot";26;9.80
"2018Q4";"23800 Laitila Keskus   (Laitila )";"Kolmiot+";.;.
"2018Q4";"24100 Salo Keskus   (Salo )";"Yksiöt";134;13.23
"2018Q4";"24100 Salo Keskus   (Salo )";"Kaksiot";80;10.29
"2018Q4";"24100 Salo Keskus   (Salo )";"Kolmiot+";36;9.40
"2018Q4";"24130 Ylhäisi   (Salo )";"Yksiöt";.;.
"2018Q4";"24130 Ylhäisi   (Salo )";"Kaksiot";.;.
"2018Q4";"24130 Ylhäisi   (Salo )";"Kolmiot+";.;.
"2018Q4";"24240 Rappula   (Salo )";"Yksiöt";61;12.69
"2018Q4";"24240 Rappula   (Salo )";"Kaksiot";28;9.82
"2018Q4";"24240 Rappula   (Salo )";"Kolmiot+";.;.
"2018Q4";"24260 Ollikkala   (Salo )";"Yksiöt";21;11.47
"2018Q4";"24260 Ollikkala   (Salo )";"Kaksiot";27;9.21
"2018Q4";"24260 Ollikkala   (Salo )";"Kolmiot+";.;.
"2018Q4";"24800 Halikko Keskus   (Salo )";"Yksiöt";30;11.66
"2018Q4";"24800 Halikko Keskus   (Salo )";"Kaksiot";32;9.82
"2018Q4";"24800 Halikko Keskus   (Salo )";"Kolmiot+";.;.
"2018Q4";"26100 Rauma Keskus   (Rauma )";"Yksiöt";189;13.86
"2018Q4";"26100 Rauma Keskus   (Rauma )";"Kaksiot";172;10.74
"2018Q4";"26100 Rauma Keskus   (Rauma )";"Kolmiot+";38;9.34
"2018Q4";"26200 Merirauma-Kappelinluhta   (Rauma )";"Yksiöt";.;.
"2018Q4";"26200 Merirauma-Kappelinluhta   (Rauma )";"Kaksiot";.;.
"2018Q4";"26200 Merirauma-Kappelinluhta   (Rauma )";"Kolmiot+";.;.
"2018Q4";"26660 Paroalho   (Rauma )";"Yksiöt";34;12.27
"2018Q4";"26660 Paroalho   (Rauma )";"Kaksiot";21;9.55
"2018Q4";"26660 Paroalho   (Rauma )";"Kolmiot+";.;.
"2018Q4";"27510 Eura Keskus   (Eura )";"Yksiöt";.;.
"2018Q4";"27510 Eura Keskus   (Eura )";"Kaksiot";.;.
"2018Q4";"27510 Eura Keskus   (Eura )";"Kolmiot+";.;.
"2018Q4";"28100 Pori Keskus   (Pori )";"Yksiöt";421;14.52
"2018Q4";"28100 Pori Keskus   (Pori )";"Kaksiot";311;11.54
"2018Q4";"28100 Pori Keskus   (Pori )";"Kolmiot+";69;10.15
"2018Q4";"28120 Käppärä-Isomäki   (Pori )";"Yksiöt";39;11.96
"2018Q4";"28120 Käppärä-Isomäki   (Pori )";"Kaksiot";51;10.78
"2018Q4";"28120 Käppärä-Isomäki   (Pori )";"Kolmiot+";.;.
"2018Q4";"28130 Impola   (Pori )";"Yksiöt";170;15.07
"2018Q4";"28130 Impola   (Pori )";"Kaksiot";172;11.66
"2018Q4";"28130 Impola   (Pori )";"Kolmiot+";39;10.05
"2018Q4";"28190 Pormestarinluoto   (Pori )";"Yksiöt";62;11.88
"2018Q4";"28190 Pormestarinluoto   (Pori )";"Kaksiot";112;9.11
"2018Q4";"28190 Pormestarinluoto   (Pori )";"Kolmiot+";31;8.71
"2018Q4";"28330 Koivistonluoto   (Pori )";"Yksiöt";43;11.30
"2018Q4";"28330 Koivistonluoto   (Pori )";"Kaksiot";47;8.78
"2018Q4";"28330 Koivistonluoto   (Pori )";"Kolmiot+";24;8.23
"2018Q4";"28360 Vanhakoivisto   (Pori )";"Yksiöt";25;12.77
"2018Q4";"28360 Vanhakoivisto   (Pori )";"Kaksiot";21;9.84
"2018Q4";"28360 Vanhakoivisto   (Pori )";"Kolmiot+";.;.
"2018Q4";"28370 Sampola   (Pori )";"Yksiöt";50;11.61
"2018Q4";"28370 Sampola   (Pori )";"Kaksiot";77;8.65
"2018Q4";"28370 Sampola   (Pori )";"Kolmiot+";.;.
"2018Q4";"28400 Ulvila Keskus   (Ulvila )";"Yksiöt";22;11.66
"2018Q4";"28400 Ulvila Keskus   (Ulvila )";"Kaksiot";22;8.96
"2018Q4";"28400 Ulvila Keskus   (Ulvila )";"Kolmiot+";.;.
"2018Q4";"28500 Keskussairaala-alue-Tiilimäki   (Pori )";"Yksiöt";.;.
"2018Q4";"28500 Keskussairaala-alue-Tiilimäki   (Pori )";"Kaksiot";.;.
"2018Q4";"28500 Keskussairaala-alue-Tiilimäki   (Pori )";"Kolmiot+";.;.
"2018Q4";"28600 Vähärauma   (Pori )";"Yksiöt";.;.
"2018Q4";"28600 Vähärauma   (Pori )";"Kaksiot";24;9.89
"2018Q4";"28600 Vähärauma   (Pori )";"Kolmiot+";.;.
"2018Q4";"28610 Musa-Tiiliruukki   (Pori )";"Yksiöt";33;12.71
"2018Q4";"28610 Musa-Tiiliruukki   (Pori )";"Kaksiot";26;9.78
"2018Q4";"28610 Musa-Tiiliruukki   (Pori )";"Kolmiot+";.;.
"2018Q4";"28800 Pihlava   (Pori )";"Yksiöt";.;.
"2018Q4";"28800 Pihlava   (Pori )";"Kaksiot";29;8.56
"2018Q4";"28800 Pihlava   (Pori )";"Kolmiot+";.;.
"2018Q4";"29200 Harjavalta Keskus   (Harjavalta )";"Yksiöt";27;10.82
"2018Q4";"29200 Harjavalta Keskus   (Harjavalta )";"Kaksiot";46;8.47
"2018Q4";"29200 Harjavalta Keskus   (Harjavalta )";"Kolmiot+";22;8.03
"2018Q4";"29250 Nakkila Keskus   (Nakkila )";"Yksiöt";22;11.55
"2018Q4";"29250 Nakkila Keskus   (Nakkila )";"Kaksiot";.;.
"2018Q4";"29250 Nakkila Keskus   (Nakkila )";"Kolmiot+";.;.
"2018Q4";"29600 Noormarkku Keskus   (Pori )";"Yksiöt";.;.
"2018Q4";"29600 Noormarkku Keskus   (Pori )";"Kaksiot";.;.
"2018Q4";"29600 Noormarkku Keskus   (Pori )";"Kolmiot+";.;.
"2018Q4";"30100 Forssa Keskus   (Tammela )";"Yksiöt";149;11.67
"2018Q4";"30100 Forssa Keskus   (Tammela )";"Kaksiot";111;9.71
"2018Q4";"30100 Forssa Keskus   (Tammela )";"Kolmiot+";23;9.44
"2018Q4";"30300 Viksberg   (Forssa )";"Yksiöt";44;10.56
"2018Q4";"30300 Viksberg   (Forssa )";"Kaksiot";30;8.99
"2018Q4";"30300 Viksberg   (Forssa )";"Kolmiot+";.;.
"2018Q4";"30420 Tölö   (Forssa )";"Yksiöt";46;11.53
"2018Q4";"30420 Tölö   (Forssa )";"Kaksiot";37;9.50
"2018Q4";"30420 Tölö   (Forssa )";"Kolmiot+";.;.
"2018Q4";"31300 Tammela Keskus   (Tammela )";"Yksiöt";21;10.79
"2018Q4";"31300 Tammela Keskus   (Tammela )";"Kaksiot";21;9.71
"2018Q4";"31300 Tammela Keskus   (Tammela )";"Kolmiot+";.;.
"2018Q4";"31400 Somero Keskus   (Somero )";"Yksiöt";29;10.58
"2018Q4";"31400 Somero Keskus   (Somero )";"Kaksiot";.;.
"2018Q4";"31400 Somero Keskus   (Somero )";"Kolmiot+";.;.
"2018Q4";"31760 Urjala Keskus   (Urjala )";"Yksiöt";.;.
"2018Q4";"31760 Urjala Keskus   (Urjala )";"Kaksiot";.;.
"2018Q4";"31760 Urjala Keskus   (Urjala )";"Kolmiot+";.;.
"2018Q4";"32200 Loimaa Keskus   (Loimaa )";"Yksiöt";50;11.06
"2018Q4";"32200 Loimaa Keskus   (Loimaa )";"Kaksiot";31;8.95
"2018Q4";"32200 Loimaa Keskus   (Loimaa )";"Kolmiot+";.;.
"2018Q4";"32210 Loimaa kk   (Loimaa )";"Yksiöt";.;.
"2018Q4";"32210 Loimaa kk   (Loimaa )";"Kaksiot";.;.
"2018Q4";"32210 Loimaa kk   (Loimaa )";"Kolmiot+";.;.
"2018Q4";"32700 Huittinen Keskus   (Huittinen )";"Yksiöt";47;11.19
"2018Q4";"32700 Huittinen Keskus   (Huittinen )";"Kaksiot";51;8.58
"2018Q4";"32700 Huittinen Keskus   (Huittinen )";"Kolmiot+";.;.
"2018Q4";"32800 Kokemäki Keskus   (Kokemäki )";"Yksiöt";22;10.37
"2018Q4";"32800 Kokemäki Keskus   (Kokemäki )";"Kaksiot";29;8.05
"2018Q4";"32800 Kokemäki Keskus   (Kokemäki )";"Kolmiot+";.;.
"2018Q4";"33100 Tampere Keskus   (Tampere )";"Yksiöt";587;17.87
"2018Q4";"33100 Tampere Keskus   (Tampere )";"Kaksiot";344;14.87
"2018Q4";"33100 Tampere Keskus   (Tampere )";"Kolmiot+";91;13.45
"2018Q4";"33200 Tampere Keskus Läntinen   (Tampere )";"Yksiöt";350;18.91
"2018Q4";"33200 Tampere Keskus Läntinen   (Tampere )";"Kaksiot";186;15.04
"2018Q4";"33200 Tampere Keskus Läntinen   (Tampere )";"Kolmiot+";70;14.34
"2018Q4";"33210 Itä-Amuri-Tammerkoski   (Tampere )";"Yksiöt";476;18.43
"2018Q4";"33210 Itä-Amuri-Tammerkoski   (Tampere )";"Kaksiot";179;13.94
"2018Q4";"33210 Itä-Amuri-Tammerkoski   (Tampere )";"Kolmiot+";38;13.88
"2018Q4";"33230 Länsi-Amuri   (Tampere )";"Yksiöt";170;17.71
"2018Q4";"33230 Länsi-Amuri   (Tampere )";"Kaksiot";69;13.37
"2018Q4";"33230 Länsi-Amuri   (Tampere )";"Kolmiot+";.;.
"2018Q4";"33240 Tahmela   (Tampere )";"Yksiöt";54;17.75
"2018Q4";"33240 Tahmela   (Tampere )";"Kaksiot";.;.
"2018Q4";"33240 Tahmela   (Tampere )";"Kolmiot+";.;.
"2018Q4";"33250 Pispala   (Tampere )";"Yksiöt";87;18.63
"2018Q4";"33250 Pispala   (Tampere )";"Kaksiot";.;.
"2018Q4";"33250 Pispala   (Tampere )";"Kolmiot+";.;.
"2018Q4";"33270 Epilä   (Tampere )";"Yksiöt";64;16.38
"2018Q4";"33270 Epilä   (Tampere )";"Kaksiot";62;13.72
"2018Q4";"33270 Epilä   (Tampere )";"Kolmiot+";29;12.21
"2018Q4";"33300 Rahola   (Tampere )";"Yksiöt";55;16.26
"2018Q4";"33300 Rahola   (Tampere )";"Kaksiot";36;12.52
"2018Q4";"33300 Rahola   (Tampere )";"Kolmiot+";.;.
"2018Q4";"33310 Tesoma   (Tampere )";"Yksiöt";56;14.91
"2018Q4";"33310 Tesoma   (Tampere )";"Kaksiot";104;12.17
"2018Q4";"33310 Tesoma   (Tampere )";"Kolmiot+";49;11.20
"2018Q4";"33330 Myllypuro-Kalkku   (Tampere )";"Yksiöt";.;.
"2018Q4";"33330 Myllypuro-Kalkku   (Tampere )";"Kaksiot";.;.
"2018Q4";"33330 Myllypuro-Kalkku   (Tampere )";"Kolmiot+";.;.
"2018Q4";"33340 Haukiluoma-Ikuri   (Tampere )";"Yksiöt";.;.
"2018Q4";"33340 Haukiluoma-Ikuri   (Tampere )";"Kaksiot";.;.
"2018Q4";"33340 Haukiluoma-Ikuri   (Tampere )";"Kolmiot+";.;.
"2018Q4";"33400 Luoteis-Tampere   (Tampere )";"Yksiöt";130;17.37
"2018Q4";"33400 Luoteis-Tampere   (Tampere )";"Kaksiot";.;.
"2018Q4";"33400 Luoteis-Tampere   (Tampere )";"Kolmiot+";.;.
"2018Q4";"33410 Lentävänniemi   (Tampere )";"Yksiöt";89;15.10
"2018Q4";"33410 Lentävänniemi   (Tampere )";"Kaksiot";92;11.04
"2018Q4";"33410 Lentävänniemi   (Tampere )";"Kolmiot+";29;10.49
"2018Q4";"33420 Lamminpää   (Tampere )";"Yksiöt";.;.
"2018Q4";"33420 Lamminpää   (Tampere )";"Kaksiot";.;.
"2018Q4";"33420 Lamminpää   (Tampere )";"Kolmiot+";.;.
"2018Q4";"33470 Ylöjärvi Keskus   (Ylöjärvi )";"Yksiöt";51;14.13
"2018Q4";"33470 Ylöjärvi Keskus   (Ylöjärvi )";"Kaksiot";69;11.47
"2018Q4";"33470 Ylöjärvi Keskus   (Ylöjärvi )";"Kolmiot+";.;.
"2018Q4";"33500 Osmonmäki-Petsamo   (Tampere )";"Yksiöt";596;18.04
"2018Q4";"33500 Osmonmäki-Petsamo   (Tampere )";"Kaksiot";362;14.00
"2018Q4";"33500 Osmonmäki-Petsamo   (Tampere )";"Kolmiot+";53;12.15
"2018Q4";"33520 Keskussairaala-alue-Kauppi   (Tampere )";"Yksiöt";35;17.11
"2018Q4";"33520 Keskussairaala-alue-Kauppi   (Tampere )";"Kaksiot";28;13.64
"2018Q4";"33520 Keskussairaala-alue-Kauppi   (Tampere )";"Kolmiot+";.;.
"2018Q4";"33530 Kissanmaa   (Tampere )";"Yksiöt";106;16.39
"2018Q4";"33530 Kissanmaa   (Tampere )";"Kaksiot";53;12.98
"2018Q4";"33530 Kissanmaa   (Tampere )";"Kolmiot+";.;.
"2018Q4";"33540 Kaleva   (Tampere )";"Yksiöt";501;18.12
"2018Q4";"33540 Kaleva   (Tampere )";"Kaksiot";306;14.20
"2018Q4";"33540 Kaleva   (Tampere )";"Kolmiot+";64;14.09
"2018Q4";"33560 Takahuhti   (Tampere )";"Yksiöt";79;16.67
"2018Q4";"33560 Takahuhti   (Tampere )";"Kaksiot";137;13.91
"2018Q4";"33560 Takahuhti   (Tampere )";"Kolmiot+";.;.
"2018Q4";"33580 Atala-Linnainmaa   (Tampere )";"Yksiöt";157;18.09
"2018Q4";"33580 Atala-Linnainmaa   (Tampere )";"Kaksiot";.;.
"2018Q4";"33580 Atala-Linnainmaa   (Tampere )";"Kolmiot+";.;.
"2018Q4";"33710 Kaukajärvi   (Tampere )";"Yksiöt";223;16.56
"2018Q4";"33710 Kaukajärvi   (Tampere )";"Kaksiot";262;13.09
"2018Q4";"33710 Kaukajärvi   (Tampere )";"Kolmiot+";.;.
"2018Q4";"33720 Hervanta   (Tampere )";"Yksiöt";805;16.66
"2018Q4";"33720 Hervanta   (Tampere )";"Kaksiot";1159;12.75
"2018Q4";"33720 Hervanta   (Tampere )";"Kolmiot+";478;11.60
"2018Q4";"33800 Nekala   (Tampere )";"Yksiöt";490;18.62
"2018Q4";"33800 Nekala   (Tampere )";"Kaksiot";110;13.72
"2018Q4";"33800 Nekala   (Tampere )";"Kolmiot+";.;.
"2018Q4";"33820 Koivistonkylä   (Tampere )";"Yksiöt";39;15.40
"2018Q4";"33820 Koivistonkylä   (Tampere )";"Kaksiot";63;12.73
"2018Q4";"33820 Koivistonkylä   (Tampere )";"Kolmiot+";.;.
"2018Q4";"33840 Peltolammi   (Tampere )";"Yksiöt";26;14.67
"2018Q4";"33840 Peltolammi   (Tampere )";"Kaksiot";48;11.80
"2018Q4";"33840 Peltolammi   (Tampere )";"Kolmiot+";20;11.22
"2018Q4";"33850 Multisilta   (Pirkkala )";"Yksiöt";32;15.28
"2018Q4";"33850 Multisilta   (Pirkkala )";"Kaksiot";31;10.89
"2018Q4";"33850 Multisilta   (Pirkkala )";"Kolmiot+";.;.
"2018Q4";"33870 Vuores   (Lempäälä )";"Yksiöt";214;19.73
"2018Q4";"33870 Vuores   (Lempäälä )";"Kaksiot";130;16.24
"2018Q4";"33870 Vuores   (Lempäälä )";"Kolmiot+";.;.
"2018Q4";"33880 Höytämö   (Lempäälä )";"Yksiöt";21;13.73
"2018Q4";"33880 Höytämö   (Lempäälä )";"Kaksiot";30;10.64
"2018Q4";"33880 Höytämö   (Lempäälä )";"Kolmiot+";.;.
"2018Q4";"33900 Härmälä-Rantaperkiö   (Tampere )";"Yksiöt";399;18.30
"2018Q4";"33900 Härmälä-Rantaperkiö   (Tampere )";"Kaksiot";.;.
"2018Q4";"33900 Härmälä-Rantaperkiö   (Tampere )";"Kolmiot+";.;.
"2018Q4";"33950 Killo   (Pirkkala )";"Yksiöt";35;15.27
"2018Q4";"33950 Killo   (Pirkkala )";"Kaksiot";26;12.11
"2018Q4";"33950 Killo   (Pirkkala )";"Kolmiot+";.;.
"2018Q4";"33960 Suuppa   (Pirkkala )";"Yksiöt";37;14.96
"2018Q4";"33960 Suuppa   (Pirkkala )";"Kaksiot";25;11.66
"2018Q4";"33960 Suuppa   (Pirkkala )";"Kolmiot+";.;.
"2018Q4";"34130 Ylinen   (Ylöjärvi )";"Yksiöt";.;.
"2018Q4";"34130 Ylinen   (Ylöjärvi )";"Kaksiot";.;.
"2018Q4";"34130 Ylinen   (Ylöjärvi )";"Kolmiot+";.;.
"2018Q4";"34800 Virrat Keskus   (Virrat )";"Yksiöt";20;10.43
"2018Q4";"34800 Virrat Keskus   (Virrat )";"Kaksiot";.;.
"2018Q4";"34800 Virrat Keskus   (Virrat )";"Kolmiot+";.;.
"2018Q4";"35300 Orivesi Keskus   (Orivesi )";"Yksiöt";42;11.88
"2018Q4";"35300 Orivesi Keskus   (Orivesi )";"Kaksiot";27;9.84
"2018Q4";"35300 Orivesi Keskus   (Orivesi )";"Kolmiot+";.;.
"2018Q4";"35800 Mänttä   (Mänttä-Vilppula )";"Yksiöt";.;.
"2018Q4";"35800 Mänttä   (Mänttä-Vilppula )";"Kaksiot";41;8.82
"2018Q4";"35800 Mänttä   (Mänttä-Vilppula )";"Kolmiot+";.;.
"2018Q4";"36200 Kangasala Keskus   (Kangasala )";"Yksiöt";57;14.38
"2018Q4";"36200 Kangasala Keskus   (Kangasala )";"Kaksiot";29;11.37
"2018Q4";"36200 Kangasala Keskus   (Kangasala )";"Kolmiot+";.;.
"2018Q4";"36220 Suorama   (Kangasala )";"Yksiöt";.;.
"2018Q4";"36220 Suorama   (Kangasala )";"Kaksiot";31;12.30
"2018Q4";"36220 Suorama   (Kangasala )";"Kolmiot+";30;11.32
"2018Q4";"36240 Nattari   (Kangasala )";"Yksiöt";35;15.11
"2018Q4";"36240 Nattari   (Kangasala )";"Kaksiot";28;10.66
"2018Q4";"36240 Nattari   (Kangasala )";"Kolmiot+";.;.
"2018Q4";"37100 Nokia Keskus   (Nokia )";"Yksiöt";82;14.79
"2018Q4";"37100 Nokia Keskus   (Nokia )";"Kaksiot";74;10.92
"2018Q4";"37100 Nokia Keskus   (Nokia )";"Kolmiot+";.;.
"2018Q4";"37120 Koskenmäki   (Nokia )";"Yksiöt";38;14.40
"2018Q4";"37120 Koskenmäki   (Nokia )";"Kaksiot";68;11.48
"2018Q4";"37120 Koskenmäki   (Nokia )";"Kolmiot+";.;.
"2018Q4";"37240 Linnavuori   (Nokia )";"Yksiöt";.;.
"2018Q4";"37240 Linnavuori   (Nokia )";"Kaksiot";.;.
"2018Q4";"37240 Linnavuori   (Nokia )";"Kolmiot+";.;.
"2018Q4";"37500 Lempäälä Keskus   (Lempäälä )";"Yksiöt";38;14.08
"2018Q4";"37500 Lempäälä Keskus   (Lempäälä )";"Kaksiot";45;11.48
"2018Q4";"37500 Lempäälä Keskus   (Lempäälä )";"Kolmiot+";.;.
"2018Q4";"37550 Kuivaspää   (Lempäälä )";"Yksiöt";.;.
"2018Q4";"37550 Kuivaspää   (Lempäälä )";"Kaksiot";.;.
"2018Q4";"37550 Kuivaspää   (Lempäälä )";"Kolmiot+";37;11.66
"2018Q4";"37600 Valkeakoski Keskus   (Valkeakoski )";"Yksiöt";109;12.89
"2018Q4";"37600 Valkeakoski Keskus   (Valkeakoski )";"Kaksiot";93;10.18
"2018Q4";"37600 Valkeakoski Keskus   (Valkeakoski )";"Kolmiot+";28;9.56
"2018Q4";"37630 Vääräkoivu   (Valkeakoski )";"Yksiöt";60;13.14
"2018Q4";"37630 Vääräkoivu   (Valkeakoski )";"Kaksiot";36;10.07
"2018Q4";"37630 Vääräkoivu   (Valkeakoski )";"Kolmiot+";.;.
"2018Q4";"37800 Toijala keskus   (Akaa )";"Yksiöt";37;12.53
"2018Q4";"37800 Toijala keskus   (Akaa )";"Kaksiot";70;10.88
"2018Q4";"37800 Toijala keskus   (Akaa )";"Kolmiot+";.;.
"2018Q4";"37830 Viiala Keskus   (Akaa )";"Yksiöt";.;.
"2018Q4";"37830 Viiala Keskus   (Akaa )";"Kaksiot";.;.
"2018Q4";"37830 Viiala Keskus   (Akaa )";"Kolmiot+";.;.
"2018Q4";"38200 Vammala Keskus   (Sastamala )";"Yksiöt";77;12.65
"2018Q4";"38200 Vammala Keskus   (Sastamala )";"Kaksiot";70;10.05
"2018Q4";"38200 Vammala Keskus   (Sastamala )";"Kolmiot+";22;9.70
"2018Q4";"38210 Vammala Asemanseutu   (Sastamala )";"Yksiöt";20;11.56
"2018Q4";"38210 Vammala Asemanseutu   (Sastamala )";"Kaksiot";21;9.42
"2018Q4";"38210 Vammala Asemanseutu   (Sastamala )";"Kolmiot+";.;.
"2018Q4";"38700 Kankaanpää Keskus   (Kankaanpää )";"Yksiöt";47;11.35
"2018Q4";"38700 Kankaanpää Keskus   (Kankaanpää )";"Kaksiot";37;8.81
"2018Q4";"38700 Kankaanpää Keskus   (Kankaanpää )";"Kolmiot+";.;.
"2018Q4";"38710 Myllymäki   (Kankaanpää )";"Yksiöt";.;.
"2018Q4";"38710 Myllymäki   (Kankaanpää )";"Kaksiot";21;8.25
"2018Q4";"38710 Myllymäki   (Kankaanpää )";"Kolmiot+";.;.
"2018Q4";"39200 Kyröskoski   (Hämeenkyrö )";"Yksiöt";.;.
"2018Q4";"39200 Kyröskoski   (Hämeenkyrö )";"Kaksiot";22;9.33
"2018Q4";"39200 Kyröskoski   (Hämeenkyrö )";"Kolmiot+";.;.
"2018Q4";"39500 Ikaalinen Keskus   (Ikaalinen )";"Yksiöt";31;10.99
"2018Q4";"39500 Ikaalinen Keskus   (Ikaalinen )";"Kaksiot";35;9.40
"2018Q4";"39500 Ikaalinen Keskus   (Ikaalinen )";"Kolmiot+";.;.
"2018Q4";"39700 Parkano Keskus   (Parkano )";"Yksiöt";.;.
"2018Q4";"39700 Parkano Keskus   (Parkano )";"Kaksiot";.;.
"2018Q4";"39700 Parkano Keskus   (Parkano )";"Kolmiot+";.;.
"2018Q4";"40100 Jyväskylä Keskus   (Jyväskylä )";"Yksiöt";648;18.78
"2018Q4";"40100 Jyväskylä Keskus   (Jyväskylä )";"Kaksiot";829;15.15
"2018Q4";"40100 Jyväskylä Keskus   (Jyväskylä )";"Kolmiot+";.;.
"2018Q4";"40200 Mannila-Taulumäki   (Jyväskylä )";"Yksiöt";194;17.87
"2018Q4";"40200 Mannila-Taulumäki   (Jyväskylä )";"Kaksiot";128;13.79
"2018Q4";"40200 Mannila-Taulumäki   (Jyväskylä )";"Kolmiot+";.;.
"2018Q4";"40250 Ritoniemi-Lohikoski   (Jyväskylä )";"Yksiöt";47;15.58
"2018Q4";"40250 Ritoniemi-Lohikoski   (Jyväskylä )";"Kaksiot";67;12.77
"2018Q4";"40250 Ritoniemi-Lohikoski   (Jyväskylä )";"Kolmiot+";.;.
"2018Q4";"40270 Pappilanrinne-Pappilanvuori   (Jyväskylä )";"Yksiöt";68;18.01
"2018Q4";"40270 Pappilanrinne-Pappilanvuori   (Jyväskylä )";"Kaksiot";52;13.06
"2018Q4";"40270 Pappilanrinne-Pappilanvuori   (Jyväskylä )";"Kolmiot+";31;12.58
"2018Q4";"40320 Seppälän Teollisuusalue   (Jyväskylä )";"Yksiöt";131;17.19
"2018Q4";"40320 Seppälän Teollisuusalue   (Jyväskylä )";"Kaksiot";171;13.41
"2018Q4";"40320 Seppälän Teollisuusalue   (Jyväskylä )";"Kolmiot+";58;12.42
"2018Q4";"40340 Huhtasuo   (Jyväskylä )";"Yksiöt";175;14.65
"2018Q4";"40340 Huhtasuo   (Jyväskylä )";"Kaksiot";246;10.90
"2018Q4";"40340 Huhtasuo   (Jyväskylä )";"Kolmiot+";126;10.57
"2018Q4";"40400 Halssila   (Jyväskylä )";"Yksiöt";.;.
"2018Q4";"40400 Halssila   (Jyväskylä )";"Kaksiot";21;11.79
"2018Q4";"40400 Halssila   (Jyväskylä )";"Kolmiot+";.;.
"2018Q4";"40420 Jyskä   (Jyväskylä )";"Yksiöt";39;14.84
"2018Q4";"40420 Jyskä   (Jyväskylä )";"Kaksiot";59;11.70
"2018Q4";"40420 Jyskä   (Jyväskylä )";"Kolmiot+";.;.
"2018Q4";"40500 Keljo-Ristonmaa   (Jyväskylä )";"Yksiöt";.;.
"2018Q4";"40500 Keljo-Ristonmaa   (Jyväskylä )";"Kaksiot";49;13.89
"2018Q4";"40500 Keljo-Ristonmaa   (Jyväskylä )";"Kolmiot+";.;.
"2018Q4";"40520 Kuokkala-Ristikivi   (Jyväskylä )";"Yksiöt";134;16.71
"2018Q4";"40520 Kuokkala-Ristikivi   (Jyväskylä )";"Kaksiot";245;14.12
"2018Q4";"40520 Kuokkala-Ristikivi   (Jyväskylä )";"Kolmiot+";.;.
"2018Q4";"40530 Keljonkangas   (Jyväskylä )";"Yksiöt";23;16.58
"2018Q4";"40530 Keljonkangas   (Jyväskylä )";"Kaksiot";.;.
"2018Q4";"40530 Keljonkangas   (Jyväskylä )";"Kolmiot+";.;.
"2018Q4";"40600 Mattilanpelto   (Jyväskylä )";"Yksiöt";92;17.31
"2018Q4";"40600 Mattilanpelto   (Jyväskylä )";"Kaksiot";54;13.12
"2018Q4";"40600 Mattilanpelto   (Jyväskylä )";"Kolmiot+";.;.
"2018Q4";"40620 Keskussairaala-alue-Kukkumäki   (Jyväskylä )";"Yksiöt";.;.
"2018Q4";"40620 Keskussairaala-alue-Kukkumäki   (Jyväskylä )";"Kaksiot";.;.
"2018Q4";"40620 Keskussairaala-alue-Kukkumäki   (Jyväskylä )";"Kolmiot+";.;.
"2018Q4";"40630 Kypärämäki   (Jyväskylä )";"Yksiöt";24;14.92
"2018Q4";"40630 Kypärämäki   (Jyväskylä )";"Kaksiot";21;12.04
"2018Q4";"40630 Kypärämäki   (Jyväskylä )";"Kolmiot+";.;.
"2018Q4";"40640 Keltinmäki   (Jyväskylä )";"Yksiöt";160;14.63
"2018Q4";"40640 Keltinmäki   (Jyväskylä )";"Kaksiot";150;11.35
"2018Q4";"40640 Keltinmäki   (Jyväskylä )";"Kolmiot+";38;10.11
"2018Q4";"40700 Mäki-Matti   (Jyväskylä )";"Yksiöt";279;17.98
"2018Q4";"40700 Mäki-Matti   (Jyväskylä )";"Kaksiot";274;13.43
"2018Q4";"40700 Mäki-Matti   (Jyväskylä )";"Kolmiot+";.;.
"2018Q4";"40720 Nisula   (Jyväskylä )";"Yksiöt";101;16.94
"2018Q4";"40720 Nisula   (Jyväskylä )";"Kaksiot";88;13.60
"2018Q4";"40720 Nisula   (Jyväskylä )";"Kolmiot+";.;.
"2018Q4";"40740 Kortepohja   (Jyväskylä )";"Yksiöt";152;16.28
"2018Q4";"40740 Kortepohja   (Jyväskylä )";"Kaksiot";166;12.57
"2018Q4";"40740 Kortepohja   (Jyväskylä )";"Kolmiot+";41;11.51
"2018Q4";"40800 Vaajakoski   (Jyväskylä )";"Yksiöt";50;14.73
"2018Q4";"40800 Vaajakoski   (Jyväskylä )";"Kaksiot";52;11.55
"2018Q4";"40800 Vaajakoski   (Jyväskylä )";"Kolmiot+";.;.
"2018Q4";"40900 Säynätsalo   (Jyväskylä )";"Yksiöt";.;.
"2018Q4";"40900 Säynätsalo   (Jyväskylä )";"Kaksiot";20;10.16
"2018Q4";"40900 Säynätsalo   (Jyväskylä )";"Kolmiot+";.;.
"2018Q4";"40950 Muurame Keskus   (Muurame )";"Yksiöt";.;.
"2018Q4";"40950 Muurame Keskus   (Muurame )";"Kaksiot";.;.
"2018Q4";"40950 Muurame Keskus   (Muurame )";"Kolmiot+";.;.
"2018Q4";"41160 Tikkakoski   (Jyväskylä )";"Yksiöt";.;.
